Host Id,Host Since,Name,Neighbourhood ,Property Type,Room Type,Zipcode,Beds,Review Scores Rating,Review Scores Rating (bin),Price,Number of Records,Number Of Reviews
9923644,11/10/2013,"Sunny, Quiet 1BD Minutes From NYC!",Queens,Apartment,Entire home/apt,11106,1,53,50,108,1,3
10113647,11/19/2013,Quaint Cozy Bedroom with Room for 2,Brooklyn,Apartment,Private room,11221,2,53,50,50,1,3
14658146,4/23/2014,Comfortable Lincoln Center Studio,Manhattan,Apartment,Entire home/apt,10023,1,53,50,180,1,3
16507770,6/7/2014,Private rooms,Queens,Apartment,Private room,11373,6,53,50,70,1,8
17766289,7/7/2014,An amazing Riverside Dr. experience,Manhattan,Apartment,Private room,10031,2,53,50,68,1,25
25045438,12/21/2014,private room in battery park,Manhattan,Apartment,Private room,10280,1,53,50,100,1,4
33680030,5/18/2015,Nice and cozy manhattan uptown 1/b,Manhattan,Apartment,Entire home/apt,10031,3,53,50,120,1,3
36362150,6/21/2015,Private room in Brooklyn,Brooklyn,Apartment,Private room,11233,1,53,50,40,1,3
4502548,12/27/2012,Bushwick Bedroom Steps from Train,Brooklyn,Apartment,Private room,11221,1,55,55,50,1,4
22506602,10/13/2014,Times Square Private Room for 2 ppl,Manhattan,Apartment,Private room,10036,1,55,55,80,1,4
27418789,2/8/2015,Gorgeous Duplex with Private Roof,Manhattan,Apartment,Entire home/apt,10022,2,55,55,450,1,5
1612492,1/16/2012,AIRY GORGEOUS 2 BEDROOM APARTMENT,Manhattan,Apartment,Entire home/apt,10013,2,57,55,345,1,6
15059732,5/3/2014,Bohemian Brooklyn Apartment,Brooklyn,Apartment,Entire home/apt,11226,1,57,55,55,1,8
2493164,5/29/2012,"HEART OF TIMES SQUARE, PVT BACKYARD",Manhattan,Apartment,Entire home/apt,10036,3,58,55,175,1,41
7831209,7/30/2013,2AA furnished room in a guesthouse,Manhattan,Bed & Breakfast,Private room,10035,2,58,55,70,1,10
35271,8/31/2009,Manhattan City 1 Bed Room Apartment,Manhattan,Apartment,Entire home/apt,10029,2,60,60,110,1,1
45324,10/12/2009,GREAT ROOM 4 TIGHT WALLETS,Queens,House,Private room,11434,1,60,60,42,1,2
55469,11/18/2009,NYC's Brooklyn's Treehouse Retreat,Brooklyn,House,Entire home/apt,11230,4,60,60,385,1,1
132132,5/25/2010,EV NEW&COZY STUDIO FALL SUBLET,Manhattan,Apartment,Entire home/apt,10009,1,60,60,199,1,2
164534,7/12/2010,"Charming,huge BR nr Prospect Park",Brooklyn,Apartment,Private room,11238,1,60,60,75,1,1
170611,7/18/2010,Great apartment in Manhattan,Manhattan,Apartment,Entire home/apt,10016,2,60,60,150,1,2
240360,9/20/2010,"Quiet, sunny Midtown Manhattan apt.",Manhattan,Apartment,Entire home/apt,10036,2,60,60,195,1,1
328898,12/28/2010,Large Private Room in Harlem,Manhattan,Apartment,Private room,10031,2,60,60,55,1,1
473624,3/30/2011,"Breezy, bright, & convenient",Brooklyn,Apartment,Entire home/apt,11230,1,60,60,75,1,1
521594,4/19/2011,Manhattan Upper East Side apartment,Manhattan,Apartment,Entire home/apt,10128,3,60,60,200,1,1
606135,5/20/2011,Luxury UES Private Bedroom w/ bath,Manhattan,Apartment,Private room,10028,1,60,60,125,1,1
713116,6/17/2011,Beautiful & Sunny in Clinton Hill,Brooklyn,Apartment,Private room,11205,1,60,60,72,1,1
731350,6/22/2011,Bright one-bedroom on Eastern Pkway,Brooklyn,Apartment,Entire home/apt,11225,1,60,60,88,1,1
834389,7/18/2011,Private Bdrm in Lovely Fort Greene,Brooklyn,Apartment,Private room,11217,1,60,60,105,1,2
949220,8/10/2011,QUIET BOHEMIAN CHELSEA LOFT APT.,Manhattan,Apartment,Entire home/apt,10011,2,60,60,298,1,1
1229945,9/30/2011,Madison Park - Private Home!,Manhattan,Apartment,Entire home/apt,10010,1,60,60,135,1,1
1251809,10/5/2011,1 BR in Browstone +Garden (B),Brooklyn,House,Private room,11207,1,60,60,75,1,2
1319219,10/21/2011,4 Bed Female Dorm w/ Pvt Bathroom,Brooklyn,Dorm,Shared room,11206,1,60,60,50,1,1
1363689,11/2/2011,Sunlit off-Soho getaway,Manhattan,Apartment,Entire home/apt,10012,1,60,60,175,1,1
1367090,11/3/2011,2 Bedroom Private Apt Homestay,Bronx,House,Entire home/apt,10469,3,60,60,55,1,1
1386407,11/8/2011,Beautiful Sunny Apt Williamsburg,Brooklyn,Apartment,Entire home/apt,11211,1,60,60,120,1,1
1411399,11/16/2011,SPACIOUS STUDIO APARTMENT - 42 ST,Manhattan,Apartment,Entire home/apt,10017,2,60,60,179,1,2
1450351,11/28/2011,The Gold Room $45,Brooklyn,Apartment,Private room,11236,1,60,60,49,1,1
1468890,12/3/2011,Madison Ave w/Sunny Private Terrace,Manhattan,Apartment,Entire home/apt,10065,1,60,60,165,1,1
